id,magazine_id,content,vector_representation
1,195,consectetur adipiscing elit.,
2,590,Lorem ipsum dolor sit amet,
3,562,consectetur adipiscing elit.,
4,460,consectetur adipiscing elit.,
5,601,Lorem ipsum dolor sit amet,
6,866,Ut enim ad minim veniam,
7,157,Lorem ipsum dolor sit amet,
8,817,Lorem ipsum dolor sit amet,
9,115,Ut enim ad minim veniam,
10,530,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
11,361,Lorem ipsum dolor sit amet,
12,285,consectetur adipiscing elit.,
13,79,Lorem ipsum dolor sit amet,
14,792,Lorem ipsum dolor sit amet,
15,785,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
16,549,consectetur adipiscing elit.,
17,948,Ut enim ad minim veniam,
18,216,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
19,120,Lorem ipsum dolor sit amet,
20,970,consectetur adipiscing elit.,
21,534,Lorem ipsum dolor sit amet,
22,26,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
23,253,Ut enim ad minim veniam,
24,130,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
25,421,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
26,878,consectetur adipiscing elit.,
27,992,consectetur adipiscing elit.,
28,748,Ut enim ad minim veniam,
29,752,consectetur adipiscing elit.,
30,524,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
31,692,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
32,640,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
33,689,Lorem ipsum dolor sit amet,
34,864,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
35,951,Ut enim ad minim veniam,
36,698,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
37,234,consectetur adipiscing elit.,
38,374,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
39,775,Lorem ipsum dolor sit amet,
40,367,Ut enim ad minim veniam,
41,412,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
42,818,consectetur adipiscing elit.,
43,994,Lorem ipsum dolor sit amet,
44,521,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
45,141,Ut enim ad minim veniam,
46,996,consectetur adipiscing elit.,
47,41,Ut enim ad minim veniam,
48,201,Ut enim ad minim veniam,
49,634,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
50,562,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
51,642,Lorem ipsum dolor sit amet,
52,545,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
53,588,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
54,417,Ut enim ad minim veniam,
55,952,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
56,835,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
57,1000,Lorem ipsum dolor sit amet,
58,749,Ut enim ad minim veniam,
59,22,Lorem ipsum dolor sit amet,
60,174,Ut enim ad minim veniam,
61,66,consectetur adipiscing elit.,
62,4,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
63,448,Lorem ipsum dolor sit amet,
64,307,consectetur adipiscing elit.,
65,325,Lorem ipsum dolor sit amet,
66,466,consectetur adipiscing elit.,
67,165,consectetur adipiscing elit.,
68,443,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
69,173,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,
70,691,Lorem ipsum dolor sit amet,
71,475,consectetur adipiscing elit.,
72,184,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
73,1,consectetur adipiscing elit.,
74,350,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.,
75,827,consectetur adipiscing elit.,
